Style #,Item #,Item Description,Unit Price,MSRP,On-hand,WebDescription
FP4020-10,FP4020-10,10K Amethyst & Diamond Pendant,100,249,1,This gemstone and Diamond pendant features a rich Amethyst accented by 3 sparkling micropave set diamonds in 10K White Gold.
FP4021-10,FP4021-10,10K Aquamarine & Pendant,100,249,2,This gemstone and Diamond pendant features a rich Aquamarine accented by 3 sparkling micropave set diamonds in 10K White Gold.
FP4022-10,FP4022-10,10K White Topaz & Diamond Pendant,100,249,3,This gemstone and Diamond pendant features a rich White Topaz accented by 3 sparkling micropave set diamonds in 10K White Gold.
FP4023-10,FP4023-10,10K Emerald & Diamond Pendant,150,379,9,This gemstone and Diamond pendant features a rich Emerald accented by 3 sparkling micropave set diamonds in 10K White Gold.
FP4024-10,FP4024-10,10K Pearl & Diamond Pendant,100,249,2,This gemstone and Diamond pendant features a rich Pearl accented by 3 sparkling micropave set diamonds in 10K White Gold.
FP4025-10,FP4025-10,10K Ruby & Diamond Pendant,150,379,20,This gemstone and Diamond pendant features a rich Ruby accented by 3 sparkling micropave set diamonds in 10K White Gold.
FP4026-10,FP4026-10,10K Peridot & Diamond Pendant,100,249,3,This gemstone and Diamond pendant features a rich Peridot accented by 3 sparkling micropave set diamonds in 10K White Gold.
FP4027-10,FP4027-10,10K Sapphire & Diamond Pendant,150,379,98,This gemstone and Diamond pendant features a rich Sapphire accented by 3 sparkling micropave set diamonds in 10K White Gold.
FP4028-10,FP4028-10,10K Opal & Diamond Pendant,100,249,2,This gemstone and Diamond pendant features a rich Opal accented by 3 sparkling micropave set diamonds in 10K White Gold.
FP4029-10,FP4029-10,10K Citrine & Diamond Pendant,100,249,13,This gemstone and Diamond pendant features a rich Citrine accented by 3 sparkling micropave set diamonds in 10K White Gold.
FP4030-10,FP4030-10,10K Blue Topaz & Diamond Pendant,100,249,7,This gemstone and Diamond pendant features a rich Blue Topaz accented by 3 sparkling micropave set diamonds in 10K White Gold.
FP4042EWB,FP4042EWB,14K Emerald & Diamond Pendant,250,499,2,This gemstone and Diamond pendant features a rich Emerald accented by 7 sparkling micropave set diamonds in 14K White Gold.
FP4042RWB,FP4042RWB,14K Ruby & Diamond Pendant,250,629,3,This gemstone and Diamond pendant features a rich Ruby accented by 7 sparkling micropave set diamonds in 14K White Gold.
FP4042SWB,FP4042SWB,14K Sapphire & Diamond Pendant,250,629,4,This gemstone and Diamond pendant features a rich Sapphire accented by 7 sparkling micropave set diamonds in 14K White Gold.
FP4053A,FP4053A,Silver Aquamarine Pendant ( Available in All Birthstone ),50,129,20,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single Aquamarine gemstone."
FP4053B,FP4053B,Silver Blue Topaz Pendant ( Available in All Birthstone ),50,129,21,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single Blue Topaz gemstone."
FP4053C,FP4053C,Silver Citrine Pendant  ( Available in All Birthstone ),50,129,27,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single Citrine gemstone."
FP4053E,FP4053E,Silver Emerald Pendant  ( Available in All Birthstone ),75,149,13,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single Emerald gemstone."
FP4053G,FP4053G,Silver Garnet Pendant ( Available in All Birthstone ),50,129,16,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single Garnet gemstone."
