Style #,Item #,Item Description,Unit Price,MSRP,On-hand,WebDescription
RG10044,RG10044-4PC,14KR Diamond Ring 5/8 ctw,850,0,6,This 14K Rose Gold oval diamond fashion ring is set with 5/8 ctw of round-cut diamonds.
RG10044,RG10044-4YC,14KY Diamond Ring 5/8 ctw,850,0,1,This 14K Yellow Gold oval diamond fashion ring is set with 5/8 ctw of round-cut diamonds.
RG10045,RG10045-4WC,14K Diamond Ring 1 ctw,1250.0025,3125,20,This 14K White Gold oval diamond fashion ring is set with 1 ctw of round-cut diamonds.
RG10046,RG10046-4WC,14K Diamond Ring 1 1/2 ctw,2000,2738.125,7,This elegant 14K White Gold diamond fashion ring is set with 1 1/2 ctw of round-cut diamonds.
RG10047,RG10047-4WC,14K Diamond Ring 2 ctw,3000,7500,22,This elegant 14K White Gold diamond fashion ring is set with 2 ctw of round-cut diamonds.
RG10048,RG10048-4WC,14K diamond Ring 1 1/2 ctw,1250,0,12,This elegant 14K White Gold diamond fashion ring is set with 1 1/4 ctw of round-cut diamonds.
RG10049,RG10049-4WPA,14K Diamond Ring 1 5/8 ctw,2000,0,14,This elegant 14K Rose Gold diamond fashion ring is set with 1 5/8 ctw of round cut diamonds.
RG10050,RG10050-4WPB,14K Natural Pink Diamond Ring 1 ctw,1500,2750,7,This intricate 14K Rose Gold Diamond ring is set with 1 ctw of round-cut diamonds.
RG10051,RG10051-4WYB,14KTT Natural Yellow Diamond Ring 5/8 ctw,1000.0013,2500.0033,3,This lovely 14K Two-Tone Gold Diamond fashion ring is studded with 5/8 ctw of round-cut diamonds.
RG10052,RG10052-1YD,10KY Diamond Mixable Ring 1/8 ctw,125,312.5,6,A 10K Yellow Gold Mixable Ring studded with sparkling round-cut diamonds around the band.
RG10052,RG10052-1WD,10K 10KP Diamond Mixable Ring 1/8 ctw,125,312.5,6,A 10K Yellow Gold Mixable Ring studded with sparkling round-cut diamonds around the band.
RG10053,RG10053-1RD,10KP Diamond Mixable Ring 1/8 ctw,125,312.5,2,This 10K Rose Gold Mixable Ring features round-cut diamonds set across an infinity pattern.
RG10053,RG10053-4PD,14KP Diamond Mixable Ring 1/8 ctw,150,0,1,This 14K Rose Gold Mixable Ring features round-cut diamonds set across an infinity pattern.
RG10053,RG10053-4YD,14KY Diamond Mixable Ring 1/8 ctw,150,0,11,This 14K Rose Gold Mixable Ring features round-cut diamonds set across an infinity pattern.
RG10053,RG10053-1WD,10K Diamond Mixable Ring 1/8 ctw,125,312.5,5,A 14K White Gold Mixable Ring studded with sparkling round-cut diamonds around the band.
RG10054,RG10054-4WD,14K Diamond Mixable Ring 1/6 ctw,150,0,1,A 14K White Gold Mixable ring featuring an intricate geometric pattern accented with round-cut diamonds.
RG10054,RG10054-1WD,10K Diamond Mixable Ring 1/6 ctw,125,312.5,7,A 10K White Gold Mixable ring featuring an intricate geometric pattern accented with round-cut diamonds.
RG10054,RG10054-4YD,14KY Diamond Mixable Ring 1/6 ctw,150,0,8,A 14K White Gold Mixable ring featuring an intricate geometric pattern accented with round-cut diamonds.
RG10054,RG10054-4PD,14KP Diamond Mixable Ring 1/6 ctw,150,0,11,A 14K White Gold Mixable ring featuring an intricate geometric pattern accented with round-cut diamonds.
RG10055,RG10055-1YD,10KY Diamond Mixable Ring 1/8 ctw,125,312.5,11,This 10K Yellow Gold Teardrop motif ring is set with round-cut diamonds encircling the teardrops.
RG10055,RG10055-1WD,10K Diamond Mixable Ring 1/8 ctw,125,312.5,9,This 10K White Gold Teardrop motif ring is set with round-cut diamonds encircling the teardrops.
RG10055,RG10055-1PD,10KP Diamond Mixable Ring 1/8 ctw,125,312.5,7,This vintage 10K Rose Gold Mixable diamond fashion ring features a cluster of round-cut diamonds at center.
RG10056,RG10056-4PD,14KP Diamond Mixable Ring 1/10 ctw,250,0,11,This vintage 14K Rose Gold Mixable diamond fashion ring features a cluster of round-cut diamonds at center.
RG10056,RG10056-1PD,10KP Diamond Mixable Ring 1/10 ctw,200,0,25,This vintage 10K Rose Gold Mixable diamond fashion ring features a cluster of round-cut diamonds at center.
RG10057,RG10057-1WD,10K Diamond Mixable Ring 1/12 ctw,200,0,20,This vintage 10K White Gold Mixable diamond fashion ring features a cluster of round-cut diamonds at center.
RG10057,RG10057-4WD,14K Diamond Mixable Ring 1/12 ctw,250,0,16,This vintage 14K White Gold Mixable diamond fashion ring features a cluster of round-cut diamonds at center.
RG10058,RG10058-1WD,10K Diamond Mixable Ring 1/8 ctw,200,0,34,This modern criss-cross 10K White Gold Diamond studded fashion ring is part of our Mixables collection.
RG10058,RG10058-4WD,14K Diamond Mixable Ring 1/8 ctw,250,0,12,This modern criss-cross 14K White Gold Diamond studded fashion ring is part of our Mixables collection.
RG10059,RG10059-1YD,10KY Diamond Mixable Ring 1/10 ctw,200,0,9,This vintage 10K Yellow Gold Mixable diamond fashion ring features a cluster of round-cut diamonds at center.
RG10059,RG10059-4YD,14KY Diamond Mixable Ring 1/10 ctw,250,0,10,This vintage 14K Yellow Gold Mixable diamond fashion ring features a cluster of round-cut diamonds at center.
RG10060,RG10060-4WD,14K Diamond Mixable Ring 1/12 ctw,250,0,14,This vintage 14K Yellow Gold Mixable diamond fashion ring features a cluster of round-cut diamonds at center.
RG10060,RG10060-4YD,14KY Diamond Mixable Ring 1/12 ctw,250,0,6,This vintage 14K Yellow Gold Mixable diamond fashion ring features a cluster of round-cut diamonds at center.
RG10060,RG10060-1YD,10KY Diamond Mixable Ring 1/12 ctw,200,0,20,This vintage 10K Yellow Gold Mixable diamond fashion ring features a cluster of round-cut diamonds at center.
RG10061,RG10061-4PD,14KP Diamond Mixable Ring 1/8 ctw,250,0,10,This 14K Rose Gold Mixables fashion ring features at etched pattern studded with round-cut diamonds.
RG10061,RG10061-1PD,10KP Diamond Mixable Ring 1/8 ctw,200,0,8,This 10K Rose Gold Mixables fashion ring features at etched pattern studded with round-cut diamonds.
RG10062,RG10062-4WD,14K Diamond Mixable Ring 1/10 ctw,250,0,16,This 14K White Gold Mixables fashion ring features a criss-cross pattern studded with round-cut diamonds.
RG10062,RG10062-1WD,10K Diamond Mixable Ring 1/10 ctw,200,0,3,This 10K White Gold Mixables fashion ring features at criss cross pattern studded with round-cut diamonds.
RG10063,RG10063-4YC,14K Diamond Ring 1/2 ctw,500,1250,3,This 14K White Gold Diamond ring features an intricate halo design set with 1/2 ctw of round cut diamonds.
RG10063,RG10063-4WC,14K Diamond Ring 1/2 ctw,500,1250,22,This 14K White Gold Diamond ring features an intricate halo design set with 1/2 ctw of round cut diamonds.
RG10064,RG10064-4PSC,14KP Diamond Crown Ring 1/10 ctw,150,0,49,This lovely 14K Rose Gold Diamond fashion ring is set with 1/10 ctw in round cut diamonds.
RG10065,RG10065-4WDE,14K Emerald & Diamond Ring,150,375,25,A simple 14K White Gold ring set with a deep green Emerald and accented with round-cut diamonds.
RG10066,RG10066-4WDR,14K Ruby & Diamond Ring,150,0,17,A simple 14K White Gold ring set with a deep red ruby and accented with round-cut diamonds.
RG10067,RG10067-4WDS,14K Sapphire & Diamond  Ring,150,0,8,A simple 14K White Gold ring set with a Blue Sapphire and accented with round-cut diamonds.
RG10069,RG10069-1WC,10K Diamond Ring 1/10 ctw,150,375,61,This lovely 14K White Gold Halo Heart Diamond fashion ring is set with 1/10 ctw in round cut diamonds.
RG10070,RG10070-1YC,10K Diamond Ring 1/10 ctw,150,375,7,This lovely 14K White Gold Diamond Heart fashion ring is set with 1/10 ctw in round cut diamonds.
RG10070,RG10070-1WC,10K Diamond Ring 1/10 ctw,150,375,52,This lovely 14K White Gold Diamond Heart fashion ring is set with 1/10 ctw in round cut diamonds.
RG10132,RG10132-4WC,14K Diamond Ring 1/2 ctw,450,900,1,A simple 14K White Gold Diamond ring is set with 12 round-cut diamonds. Diamond weight is 1/4 ctw.
RG54730,RG54730-4WC,14K Diamond Two Stone Ring 1/2 ctw Semi Mount,700,1399.3,1,"Two round diamonds fill curves of 14 karat gold in this extraordinary and intricate two-stone ring for her. Additional diamonds decorate the band, bringing the total diamond weight to 1 ctw. From the Twogether collection."
RG54775,RG54775SM-4WB,14KW Diamond Semi-Mount Bridal Ring 5/8 ctw (3/4 ctw Center),725,0,3,"From the Bellissima bridal Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 26 round-cut diamonds accenting the halo and shank. Fits a 3/4 ct center stone. Total diamond weight is 5/8 ctw. Diamond clarity is SI2-SI3."
RG54776,RG54776SM-4WB,14KW Diamond Semi-Mount Bridal Ring 5/8 ctw (1/3 ctw Center),725,0,3,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 34 round-cut diamonds accenting the halo and shank of the ring. Fits a 1/3 ct center stone. Total diamond weight is 5/8 ctw. Diamond clarity is SI2-SI3."
RG54778,RG54778SM-4WB,14KW Semi-Mount Bridal Ring 1/7 ctw (5/8 ct Center),325,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 16 round-cut diamonds accenting the center stone. Fits a 5/8 ct center stone. Total diamond weight is 1/7 ctw. Diamond clarity is SI2-SI3."
RG54779,RG54779SM-4WB,14KW Diamond Semi-Mount Bridal Ring 5/8 ctw (3/4 ct Center),800,2000,1,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 76 round-cut diamonds accenting the shank of the ring. Fits a 3/4 ct center stone. Total diamond weight is 5/8 ctw. Diamond clarity is SI2-SI3."
RG54780,RG54780SM-4WB,14KW Diamond Semi-Mount Bridal Ring 3/8 ctw (1/2 ct Center),525,1312.5,3,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 40 round-cut diamonds accenting the shank of the ring. Fits a 1/2 ct center stone. Total diamond weight is 3/8 ctw. Diamond clarity is SI2-SI3."
RG54781,RG54781SM-4WB,14KW Diamond Semi-Mount Bridal Ring 3/8 ctw (1/4 ct Center),400,1000,2,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 24 round-cut diamonds accenting the halo and shank of the ring. Fits a 1/4 ct center stone. Total diamond weight is 3/8 ctw. Diamond clarity is SI2-SI3."
RG54782,RG54782SM-4WB,14KW Diamond Semi-Mount Bridal Ring 3/4 ctw,850,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 24 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 3/4 ctw. Diamond clarity is SI2-SI3."
RG54784,RG54784SM-4WB,14KW Diamond Semi-Mount Bridal Ring 5/8 ctw,700,0,5,"From the Bellissima Collection, this 14K White Gold Twisted Shank Semi-Mount Bridal Ring features 24 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 5/8 ctw. Diamond clarity is SI2-SI3."
RG54785,RG54785SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2 ctw,675,0,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Twisted Shank Bridal Ring features 26 round-cut diamonds accenting the shank of the ring. Fits a 1 1/2 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG54786,RG54786SM-4WB,14KW Diamond Semi-Mount Bridal Ring 5/8 ctw (1 ct Center),825,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 16 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 5/8 ctw. Diamond clarity is SI2-SI3."
RG54787,RG54787SM-4WB,14KW Diamond Semi-Mount Bridal Ring 7/8 ctw (3/4 ct Center),975,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 52 round-cut diamonds accenting the shank of the ring. Fits a 3/4 ct center stone. Total diamond weight is 7/8 ctw. Diamond clarity is SI2-SI3."
RG54788,RG54788SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1 ctw,2050,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 26 round-cut diamonds accenting the shank of the ring. Fits a 3/4 ct center stone. Total diamond weight is 1/3 ctw. Diamond clarity is SI2-SI3."
RG54789,RG54789SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/3 ctw (1 ct Center),475,0,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 35 round-cut diamonds accenting the halo and shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1/3 ctw. Diamond clarity is SI2-SI3."
RG54790,RG54790SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1 1/2 ctw (1 ct Center),1425,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 57 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1 1/2 ctw. Diamond clarity is SI2-SI3."
RG54791,RG54791SM-4WB,14KW Diamond Semi-Mount Bridal Ring 3/4 ctw (1 ct Center),750,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 48 round-cut diamonds. Fits a 1ct Center stone. Total diamond weight is 3/4 ctw. Diamond clarity is SI2-SI3."
RG58475,RG58475SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/3 ctw (1/5 ct Center),400,1000,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 34 round-cut diamonds accenting the shank of the ring. Fits a 1/5 ct center stone. Total diamond weight is 1/3 ctw. Diamond clarity is SI2-SI3."
RG58482,RG58482SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2 ctw (3/4 ct Center),700,1750,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 46 round-cut diamonds accenting the shank of the ring. Fits a 3/4 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58484,RG58484SM-4WB,14KW Diamond Semi-Mount Bridal Ring 7/8 ctw (1/3 ct Center),865,2162.5,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 52 round-cut diamonds accenting the shank of the ring. Fits a 1/3 ct center stone. Total diamond weight is 7/8 ctw. Diamond clarity is SI2-SI3."
RG58487,RG58487SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/3 ctw,1550,3875,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 10 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1/3 ctw. Diamond clarity is SI2-SI3."
RG58488,RG58488SM-4WB,14KW Diamond Semi-Mount Bridal Ring 5/8 ctw (1/3 ct CZ Center),800,2000,2,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 58 round-cut diamonds accenting the shank of the ring. Fits a 1/3 ct center stone. Total diamond weight is 5/8 ctw. Diamond clarity is SI2-SI3."
RG58490,RG58490SM-4WB,14KW Diamond Semi-Mount Bridal Ring 7/8 ctw (3/4 ct CZ Center),1050,2625,1,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 50 round-cut diamonds accenting the shank of the ring. Fits a 3/4 ct center stone. Total diamond weight is 7/8 ctw. Diamond clarity is SI2-SI3."
RG58492,RG58492SM-4WB,14KW Diamond Semi-Mount Bridal Ring 3/4 ctw (1 ct Center),975,2437.5,1,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 34 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 3/4 ctw. Diamond clarity is SI2-SI3."
RG58494,RG58494SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2 ctw (1/2 ct Center),625,1562.5,1,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 44 round-cut diamonds accenting the shank of the ring. Fits a 1/2 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58495,RG58495SM-4WB,14KW Semi-Mount Eng Ring 1/2 ctw (1/3 ct Center),600,1500,3,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 26 round-cut diamonds accenting the shank of the ring. Fits a 1/3 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58496,RG58496SM-4WB,14KW Semi-Mount Eng Ring 1/2 ctw (1/3 ct Center),600,1500,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 40 round-cut diamonds accenting the shank of the ring. Fits a 1/3 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58497,RG58497SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2 ctw (1/2 ct Center),550,1375,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 14 round-cut diamonds accenting the shank of the ring. Fits a 1/2 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58498,RG58498SM-4WB,14KW Diamond Semi-Mount Bridal Ring 5/8 ctw (1/3 Center),800,2000,3,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 56 round-cut diamonds accenting the shank of the ring. Fits a 1/3 ct center stone. Total diamond weight is 5/8 ctw. Diamond clarity is SI2-SI3."
RG58499,RG58499SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/3ctw (1ctw Center),550,1375,1,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 24 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1/3 ctw. Diamond clarity is SI2-SI3."
RG58500,RG58500SM-4WB,14KW Diamond Semi-Mount Bridal Ring 3/4ctw(1ctw Center),975,2437.5,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 30 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 3/4 ctw. Diamond clarity is SI2-SI3."
RG58501,RG58501SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/4 ctw (1/2 ct Center),425,1062.5,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 36 round-cut diamonds accenting the shank of the ring. Fits a 1/2 ct center stone. Total diamond weight is 1/4 ctw. Diamond clarity is SI2-SI3."
RG58502,RG58502SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2ctw (3/4ctw Center),750,1875,3,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 72 round-cut diamonds accenting the shank of the ring. Fits a 3/4 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58503,RG58503SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2 ctw (1 ct Center),650,1625,2,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 28 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58504,RG58504SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/4 ctw (1/2 Center),400,0,6,"From the Bellissima Collection, this 14K White and Yellow Gold Semi-Mount Bridal Ring features 30 round-cut diamonds accenting the shank of the ring. Fits a 1/2 ct center stone. Total diamond weight is 1/4 ctw. Diamond clarity is SI2-SI3."
RG58505,RG58505SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1ctw (1ctw Center),1000,0,3,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 46 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1 ctw. Diamond clarity is SI2-SI3."
RG58506,RG58506SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2 ctw,550,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 8 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58507,RG58507SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/3ctw (1ctw Center),525,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 18 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1/3 ctw. Diamond clarity is SI2-SI3."
RG58508,RG58508SM-4WB,14KW Diamond Semi-Mount Bridal Ring 3/4ctw (1ctw Center),900,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 66 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 3/4 ctw. Diamond clarity is SI2-SI3."
RG58509,RG58509SM-4WB,14KW Diamond Semi-Mount Bridal Ring 3/8 ctw,475,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 16 round-cut diamonds accenting the shank of the ring. Fits a 3/4 ct center stone. Total diamond weight is 3/8 ctw. Diamond clarity is SI2-SI3."
RG58510,RG58510SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/4ctw (3/8ctw Center),400,1000,3,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 28 round-cut diamonds accenting the shank of the ring. Fits a 3/8 ct center stone. Total diamond weight is 1/4 ctw. Diamond clarity is SI2-SI3."
RG58511,RG58511SM-4WB,14KW Semi-Mount Eng Ring 1/2 ctw (1ctw Center),600,0,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 30 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58512,RG58512SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1ctw (1ctw Center),975,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 44 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1 ctw. Diamond clarity is SI2-SI3."
RG58513,RG58513SM-4WB,14KW Diamond Semi-Mount Bridal Ring 3/8 ctw (3/4 Center),525,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 14 round-cut diamonds accenting the shank of the ring. Fits a 3/4 ct center stone. Total diamond weight is 3/8 ctw. Diamond clarity is SI2-SI3."
RG58514,RG58514SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2 ctw (1ctw Center),650,0,6,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 12 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58515,RG58515SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1ctw (1ctw Center),925,2312.5,3,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 42 round and princess-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1 ctw. Diamond clarity is SI2-SI3."
RG58516,RG58516SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2ctw(1 1/2ctw Center),625,0,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 52 round-cut diamonds accenting the shank of the ring. Fits a 1 1/2 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58517,RG58517SM-4WB,14KW Diamond Semi-Mount Bridal Ring 5/8ctw (3/4ctw Center),650,0,3,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 24 round-cut diamonds accenting the halo and shank of the ring. Fits a 3/4 ct center stone. Total diamond weight is 5/8 ctw. Diamond clarity is SI2-SI3."
RG58518,RG58518SM-4WB,14KW Diamond Semi-Mount Bridal Ring 3/4 ctw (1ctw Center),850,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 34 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 3/4 ctw. Diamond clarity is SI2-SI3."
RG58519,RG58519SM-4WB,14KW Diamond Semi-Mount Bridal Ring 5/8ctw (1ctw Center),700,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 64 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 5/8 ctw. Diamond clarity is SI2-SI3."
RG58520,RG58520SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2ctw (1 1/4ctw Center),600,0,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 12 round-cut diamonds accenting the shank of the ring. Fits a 1 1/4 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58521,RG58521SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2ctw,700,0,7,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 56 round-cut diamonds accenting the shank of the ring. Fits a 3/4 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
RG58522,RG58522SM-4WB,14KW Semi-Mount Bridal Ring 1 1/4cttw (1 1/2ctw Center),1200,0,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 34 round and princess-cut diamonds accenting the shank of the ring. Fits a 1 1/2 ct center stone. Total diamond weight is 1 1/4 ctw. Diamond clarity is SI2-SI3."
RG58523,RG58523SM-4WB,14KW Diamond Semi-Mount Bridal Ring 3/8 ctw,500,1250,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 62 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 3/8 ctw. Diamond clarity is SI2-SI3."
RG58524,RG58524SM-4WB,14KW Semi-Mount Eng Ring 1/3 cttw (1/2ctw center),450,0,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Halo Bridal Ring features 30 round-cut diamonds. Fits a 1/2 ct center stone. Total diamond weight is 1/3 ctw. Diamond clarity is SI2-SI3."
RG58525,RG58525SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/3 ctw,400,0,5,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 16 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1/3 ctw. Diamond clarity is SI2-SI3."
RG58526,RG58526SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/7 ctw(1/2ctw Center),275,687.5,3,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 14 round-cut diamonds accenting the shank of the ring. Fits a 1/2 ct center stone. Total diamond weight is 1/7 ctw. Diamond clarity is SI2-SI3."
RG58527,RG58527SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/3ctw (1/2ctw Center),375,937.5,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 14 round-cut diamonds accenting the shank of the ring. Fits a 1/2 ct center stone. Total diamond weight is 1/3 ctw. Diamond clarity is SI2-SI3."
RG58528,RG58528SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/4ctw,350,875,3,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 14 round-cut diamonds accenting the shank of the ring. Fits a 3/4 ct center stone. Total diamond weight is 1/4 ctw. Diamond clarity is SI2-SI3."
RG58529,RG58529SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/3ctw (1ctw Center),400,1000,1,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 14 round-cut diamonds accenting the shank of the ring. Fits a 1 ct center stone. Total diamond weight is 1/3 ctw. Diamond clarity is SI2-SI3."
RG58530,RG58530SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/7ctw (1/4ctw Center),250,625,1,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 14 round-cut diamonds accenting the shank of the ring. Fits a 1/4 ct center stone. Total diamond weight is 1/7 ctw. Diamond clarity is SI2-SI3."
RG58531,RG58531SM-4WB,14KW Diamond Semi-Mount Bridal Ring 1/2 ctw (1/2 Center),500,1250,4,"From the Bellissima Collection, this 14K White Gold Semi-Mount Bridal Ring features 10 round-cut diamonds accenting the shank of the ring. Fits a 1/2 ct center stone. Total diamond weight is 1/2 ctw. Diamond clarity is SI2-SI3."
